path,ref_count_approx,first_hit
eval_external,2,/mnt/c/Users/mike/Downloads/capstone/_inventory/refs_summary_fast.csv
export_agentb.sh,5,/mnt/c/Users/mike/Downloads/capstone/_inventory/refs_summary_fast.csv
how_to_run.txt,5,/mnt/c/Users/mike/Downloads/capstone/_inventory/refs_summary_fast.csv
install.cmd,5584,/mnt/c/Users/mike/Downloads/capstone/capstone_agent_a/TESTING.md
ner/__init__.py,62,/mnt/c/Users/mike/Downloads/capstone/capstone_agent_a/TESTING.md
ner/regex_patterns.py,10,/mnt/c/Users/mike/Downloads/capstone/ner/regex_patterns.py
ner_training.txt,9,/mnt/c/Users/mike/Downloads/capstone/export_agentb.sh
ner_vector_output.csv,5,/mnt/c/Users/mike/Downloads/capstone/_inventory/refs_summary_fast.csv
nohup.out,7,/mnt/c/Users/mike/Downloads/capstone/export_agentb.sh
one.jsonl,26029,/mnt/c/Users/mike/Downloads/capstone/Makefile
original_combined.json,5,/mnt/c/Users/mike/Downloads/capstone/_inventory/refs_summary_fast.csv
podman-compose.yml,6,/mnt/c/Users/mike/Downloads/capstone/export_agentb.sh
prompts_capstone.txt,5,/mnt/c/Users/mike/Downloads/capstone/_inventory/refs_summary_fast.csv
pyproject.toml,10,/mnt/c/Users/mike/Downloads/capstone/capstone_agent_a/TESTING.md
pytest.ini,54,/mnt/c/Users/mike/Downloads/capstone/Makefile
refs_fast.py,17,/mnt/c/Users/mike/Downloads/capstone/_tools/prune_from_csv.sh
requirements.txt,1603,/mnt/c/Users/mike/Downloads/capstone/export_agentb.sh
sample_cve.json,5,/mnt/c/Users/mike/Downloads/capstone/_inventory/refs_summary_fast.csv
scan_usage.py,10,/mnt/c/Users/mike/Downloads/capstone/_inventory/to_remove.csv
scripts/backfill_ingested_at_ts.py,5,/mnt/c/Users/mike/Downloads/capstone/_inventory/refs_summary_fast.csv
scripts/backfill_published_at_ts.py,5,/mnt/c/Users/mike/Downloads/capstone/_inventory/refs_summary_fast.csv
scripts/chunk_and_ingest.py,10,/mnt/c/Users/mike/Downloads/capstone/export_agentb.sh
scripts/fetch_artifacts.sh,5,/mnt/c/Users/mike/Downloads/capstone/_inventory/refs_summary_fast.csv
scripts/healthcheck.sh,21,/mnt/c/Users/mike/Downloads/capstone/capstone_agent_a/DOCKER_ARCHITECTURE.md
scripts/iterate_heva.sh,5,/mnt/c/Users/mike/Downloads/capstone/_inventory/refs_summary_fast.csv
scripts/list_files_usage.sh,6,/mnt/c/Users/mike/Downloads/capstone/_inventory/to_remove.csv
scripts/qdr_helpers.sh,6,/mnt/c/Users/mike/Downloads/capstone/docs/HEVA_QDRANT_HELPERS.md
scripts/qdr_since.sh,10,/mnt/c/Users/mike/Downloads/capstone/Makefile
scripts/qdrant_set_payload.py,8,/mnt/c/Users/mike/Downloads/capstone/Makefile
scripts/refs_fast.sh,17,/mnt/c/Users/mike/Downloads/capstone/_tools/prune_from_csv.sh
scripts/restart_api.sh,7,/mnt/c/Users/mike/Downloads/capstone/_inventory/refs_summary_fast.csv
tests/test_all.py,12,/mnt/c/Users/mike/Downloads/capstone/_tools_audit_build_list.py
tests/test_app.py,6,/mnt/c/Users/mike/Downloads/capstone/_inventory/refs_summary_fast.csv
tests/test_clock_guard.py,5,/mnt/c/Users/mike/Downloads/capstone/_inventory/refs_summary_fast.csv
tests/test_service.py,5,/mnt/c/Users/mike/Downloads/capstone/_inventory/refs_summary_fast.csv
tests/test_smoke_external.py,5,/mnt/c/Users/mike/Downloads/capstone/_inventory/refs_summary_fast.csv
tools/llm_refactor.py,5,/mnt/c/Users/mike/Downloads/capstone/_inventory/refs_summary_fast.csv
train_ner_model.py,5,/mnt/c/Users/mike/Downloads/capstone/_inventory/refs_summary_fast.csv
wsl_safe_heva_checks.sh,5,/mnt/c/Users/mike/Downloads/capstone/_inventory/refs_summary_fast.csv
wsl_safe_heva_combined_check.sh,6,/mnt/c/Users/mike/Downloads/capstone/_inventory/refs_summary_fast.csv
